 @RELATION wicked

@ATTRIBUTE document STRING
@ATTRIBUTE class {Yes, no}

@DATA
"طريقة فحص مدى قوة كلمة المرور الخاصة بك  ",no
"كيفية اختراق المواقع الالكترونية بثغرة",Yes
"كيفية حظر المواقع الإلكترونية والبريد اللالكتروني من الشبكة لمدة الهجوم",Yes
"للأمن و الحماية بإطلاق خدمة على مدونتها الرسمية  ",no
"إختراق مواقع بدون برامج للمخترقين",Yes
"نصائح لانشاء كلمات مرور قوية طريقة ادارة  ",no
"تطرح مواضيع عن الإختراق بشكل عام أو مواضيع ليس لها تصنيف     ",Yes
"كيف تحمي خصوصيتك على الانترنت",no
"تحميل برنامج اختراق الفيس بوك  ",Yes
"كيف تمنع الهكر من اختراق بريدك اللالكتروني   ",no
"اقوي برنامج على الاطلاق لسرقه باسورد",Yes
"بدايتك في تعلم الاختراق",Yes
"طرق عديدة لإخترق المواقع بالثغرات",Yes
"التجسس على اي شخص في الشبكة و شاهد المواقع التي يزورها ",Yes
"عملية الاختراق و عن كيفية الاختراق و الطرق المتبعة التقليدية",Yes
"تحميل جميع برامج الاختراق البريد ",Yes
"تجسس على اي هاتف و اعرف المواقع التي يتصفحها وقراءة رسائله",Yes
"طريقة فحص   قوة كلمة المرور  بدون برنامج",no
"ثلاث برامج لحماية شبكة الواي فاي من الاختراق",no
"للحصول على ثغرات المواقع",Yes
"لاخترق اي ايميل حتى ان لم تكن محترف مهم",Yes
"تطرقنا لموضوع مهم جدا خاص ببرامج اختراق الفيسبوك",Yes
"يمكن أن نطلق عليها ثغرة   يمكنك التوصل الضحية",Yes
"اخر تحديثات ويندوز لحماية و الامان",no
"برنامج حماية ضد الفيروسات و ملفات التجسس",no
"إحتراف الإختراق طريقك إلى الإحتراف",Yes
"موضوع حماية الخصوصة و كيف تحمي خصوصيتك على الانترنت",no
"اخترق البريد ععد لا نهائي من الطرق و الحيل",Yes
"برنامج للسرقة الاميل على المنتدى",Yes
"برنامج  لسرقة الباسوردات",Yes
" تحميل برنامج جالب باسووردات",Yes
"اختراق باسوورد الواير لس فتح باسوورد واير لس باسوورد الواير لس اختراق الواير لس,طريقة فتح واير لس بدون كلمة سر",Yes
"برنامج كاشف الباسوورد للراوتر رمز الواي فاي الرقم السري للوايرلس",Yes
" متخصص في تعليم أساليب و فنون القرصنة العالمية",Yes
"تعلم الهاكر خطوة بخطوة مع اقوى هاكر عربي",Yes
"سلسلة حلقات تعليم فنون الهاكرز للمبتدئين",Yes
"هل تريد الدخول و البدء في عالم الاختراق تهكير",Yes
"برنامج عميل يساعدك على أتمام الأختراق و التحكم بجهاز الضحية",Yes
"معلومات عن الاختراق و كيفية التعامل اذا كان جهازك مخترق",no
"كيفية حماية شبكة الواي فاي من الاختراق و سرقة الانترنت",no
"وضع كلمة سر قوية لشكبة  الواير ليس",no
"كيفية اكتشاف من يسرق الانترنت منك عبر شبكة واي فاي الخاصة بك باستخدام برنامج",no
 "برنامج اختراق الراوتر كيفية اختراق الراوتر برنامج اختراق الوايرليس",Yes
"لاختراق كل انواع الراوترات ",Yes
"تحميل أفضل برنامج حماية ضد  و الاختراق",no
"فهذا البرنامج يحميك  من التجسس",no
"برنامج مكافحة ملفات التجسس و الاختراق",no
"برنامج لازالة ملفات التجسس و الاختراق ",no
"برنامج التأمين و الحماية",no
"اقوى برامج الحماية",no
"البرنامج يعد من اقوى برامج الحماية من التجسس و الاختراق",no
"البرنامج يفحص أي ملف كان داخل النظام و ذلك من اجل عدم اختراق الجهاز",no
"البرنامج يفحص أي ملف كان داخل النظام و ذلك من اجل عدم اختراق الجهاز",no
"كل ماتحتاجه لحماية جهازك من مضاد فيروسات و جدار ناري",no
"من اجل عدم تسلل أي هاكرز على الجهاز",no
"تحميل برنامج حجب الصور الإباحية و المواقع",no
"برامج التأمين و  الحماية",no
"برنامج مضاد فيروسات",no
"احسن واهم  طريقة للحماية من الإختراقات و القرصنة",no
"إذا كنت تريد الحماية اتبع الطرق الآتية",no
"حماية جهازك من التهكير والاختراق",no
"التعريف العام بالإختراق و طرقه و انواعه و كيفية التصدي له",no
"إنشاء الحماية قوية",no
"برامج الحماية لأداء مهامها و يمكن تصنيف هذه الطرق الي اربعة على النحو التالي",no
"طرق و البرامج المستخدمه لتامين   و الحماية",no
"وسائل و طرق للحماية المنتديات",no
"طرق و البرامج المستخدمة للحماية",no
"اشهر البرامج المستخدمة للحماية",no
" يقوم بالحماية من المخترقين",no
"حماية بياناتك من التجسس و السرقة و الضياع ",no
"معرفة كيفية حماية هاتفك من الاختراق",no
" تريد منع المخترقين",no
"كيف تسترجع صفحتك  و إن قام الهكر بإختراقها وحذفك",no
"إنسى ان يتم  إختراق صفحتك",no
"قبل  ان يتم إختراقك",no
"كيف تحمي نفسك من التهكير ",no
"كيف يتم اختراق الحسابات البنكية بكل سهولة و كيف تحمي نفسك",no
"طريقة للتجسس على اي هاتف عن بعد و بالمجان", Yes
"كيف  تمنع الهكرز من إختراقك",no
"انواع  الهكر و كيفية التخلص و الحماية",no
"كيف  اعرف ان حسابي على الفيس بوك تم اختراقه",no
"كيف اعرف ان حسابي  في الفيس بوك مخترق",no
"كيف اعرف  انه تم اختراق الفيس بوك",no
"تم اختراق حسابي  في الفيس بوك",no
"برنامج اختراق أجهزة قوي له  ميزة التجسس",Yes
"كيف تحمي بياناتك من التجسس",no
"هاك  بالثغرات",Yes
"إذا كنت  تريد تأمين معلوماتك",no
"اضع بين ايديكم شرح عملي للاختراق خطوه بخطوه",Yes
"كيف نخترق جهاز معين مع طريقة الشرح",Yes
"وجود ثغره في جهازه لكي تمكننا من  الدخول عبرها",Yes
"نهتم بكل ما يخص الهكرز و أمن المعلومات الرئيسية قسم البرامج  قسم الحماية",no
"اختراق البريد عدد لانهائي من الطرق",Yes
"إذا كنت تريد منع المخترقين و الهاكرز من التجسس على حركتك",no
"كيفية إختبار أمان شبكتنا  اللاسلكية واي فاي بهدف تقويتها",no
"اختبر أمان شبكة الاتصال",no
"فتح الثغره هي عن طريق برامج الاختراق",Yes
"اختبر أمان شبكة الاتصال الواي فاي",no
"اهم شئ ان تفحص ثغرات جهازك  دائما و تتاكد منها",no
"فتح ثغره للدخول عن طريقها الى جهاز الضحيه و نستخدم برامج الاختراق",Yes
"ان تخترق جهاز الضحيه بأحد برامج الأختراق و تذهب الى قائمه الباسووردات",Yes
"لحماية البيانات من التجسس و السرقة و الضياع",no
"مكتبة الهكر الكامل اكثر من مليون برنامج هكر ",Yes
"يعتبر مكتبة برامج  هاك متكامله",Yes
"لا تخزن كلمات المرور او كلمات   سر على جهازك",no
"كيف تخترق كمبيوتر يعمل على لينكس بأسهل طريقة",Yes
" قائمة لأفضل تطبيقات مكافحة الفيروسات",no
"أمن  و حماية الشبكات",no
"تدمير و تفجير البريد هو سهل و بسيط عن طريق إغراق البريد بإرسال",Yes
"عن طريق ايجاد ثغرة و اختراقة",Yes
"بعض الحيل لأختراق سيرفر او موقع معين هذه خطوات راح تتعلم منها تخترق أي موقع",Yes
"تعليم التشفير للمبتدئين",no
"ثغره و نخترق عن طريقها",Yes
" منتديات تعليم الهكر و الأحتراف كيفية اختراق المواقع و المنتديات للمبتدئين",Yes
"أدوات و وسائل أختـــراق فتاكة لم  تسمع بها  من قبل نتكلم عن تعليم  اختراق  المواقع   للمبتدئين و المحترفين  فى  الاختراق  نبداء  بشرحها لثغره",Yes
"اختراق  المواقع المصابة بثغرة",Yes
"كيف تحمي بريدك من الاختراق و  كيف تستعيده في حال اختراقه",no
"لكي تستطيع اختراق موقع   يجب  أن تعرف اسم المستخدم و كلمة المرور الخاصة بالموقع",Yes
"سلسله احتراف و اختراق الفيس بوك",no 
"طريقة اكتشاف  الثغرة",Yes
" لمعرفة اي باسورد فايس بوك في دقائق و بدون برامج",Yes
"أمن المواقع و المنتديات و الشبكات",no  
"منتديات دروس و تعليم الهكر و  الأحتراف",Yes
"قادر على الإختراق اي حساب فايس بوك بكل سهولة من اختيارك انت و بدون مهارات",Yes
"خاص للمبتدئين تعلم اختراق المواقع    ",Yes
"متصفحو الانترنت مطالبون بمعرفة طريقة تمييز مواقع الانترنت الآمنة",no
"كيفية تلغيم فيديو بسيرفر",Yes
"حماية البريد الإلكتروني",no
"الاختراق عن طريق البحث عن الثغرات الموجودة في الموقع  طريقة مهمة جداً من طرق اختراق المواقع",Yes
"احمي نفسك من المواقع الغير الامنة و الاحتيالية",no
"الدرس الاول من دروس اختراق الاجهزة ما هو اختراق الاجهزة",Yes
"تقنية جديدة للكشف عن المواقع الآمنة",no
"افضل و اسهل برنامج اختراق اجهزه عربى",Yes
"اول برنامج عربي للاختراق الاجهزة",Yes
"كيف تعرف ان حساب الفيس بوك مخترق",no
"كيف تعرف ان حسابك  على  الفيس بوك مخترق",no
" كيفية معرفة اختراق الفيس بوك",no
"كيف اعرف ان حسابي  على الفيس بوك مهكر كيف تامن نفسك",no
"نصائح هامة لحماية حساب فيسبوك من الإختراق",no
"كيف تحمي حسابك علي فيس بوك من الاختراق و الهكر",no
"كيف تحمي نفسك من الاختراق",no
"كشف و تجنب صفحات المزورة",no
"للحماية من الاختراق",no
"منع الاختراق",no
"كيف تسترجع صفحتك",no
"هذا الاداة تحمينا و تحمى صغارنا من المواقع الغير أمنة و المواقع الاحتيالية أثناء تصفحنا علي الانترنت",no
"مغربي مهتم بشؤون الهكر الأخلاقي و الحماية خبرة في مجال إختراق المواقع مهتم بشؤن الهكر الأخلاقي و الحماية خبرة في مجال إختراق المواقع",Yes
"موضوعنا اليوم عن طريقة حماية منتداك من الهكر",no 
"تقنية جديدة تتيح إمكانية التعرف على مواقع الإنترنت الآمنة",no
"الأمن و الحماية",no
"دورة إحتراف التلغيم",Yes
"كيف يتم معرفة مدى أمان إحدى المعاملات عبر إنترنت",no
"حماية حساب فيسبوك من السرقة",no
"جعل الويب أكثر أمانًا",no
"شرح اختراق لوحات التحكم بثغرة او شرح اكتشاف ثغرة  و طريقة استغلاله",Yes
"عدادات برامج الحماية من الفايروسات و ملفات التجسس",no
"تبدأ مراحل اختبار امن و جودة المواقع الالكتروني بإجراء المسح الامني بإستخدام افضل برامج و تقنيات المسح الامني",no
"اختبار جودة و حماية البرامج الالكترونية",no
"إختبار حماية البرنامج من القرصنة",no
"يتم اختيار افضل طرق الحماية و التشفير",no
"الأمن و السلامة على الإنترنت",no
"استخدم برامج مكافحة الفيروسات و الجدران النارية",no
"ستخدم برامج الكشف عن الملفات الخبيثة كملفات التجسس",no
"كيفية تأمين الحماية الشخصية",no
"تعلم ادارة و حماية سيرفرات",no
"الطرق الاحترافية لأختراق المواقع",Yes
"و لحماية البيانات المهمة",no
"حماية معلوماتك و سمعتك من تهديدات شبكة الإنترنت",no
"تدريب امن شبكات الإنترنت",no
"عن طريق ايجاد ثغرة و من ثم اختراقة",Yes
"الكتاب هو عبارة عن بحث في أمن شبكات الحاسب و الانترنت و نظم التشفير",no
"كيف تحمي شبكتك و نظامك",no
"للإبقاء على معلوماتك آمنة",no
"جدار الحماية الناري إما برنامجاً أو جهازاً يستخدم لحماية الشبكة",no
"يتم حماية الشبكة اللاسلكية باستخدام بروتوكول تشفير الشبكات اللاسلكية",no
"اخرج باسورد الأدمن و اذهب للوحة التحكم و تمتع بالإختراق",Yes
"هناك مجالات أخرى للحماية",no
"امن المعلومات على تخصصات أخرى مثل الشبكات و البرمجة",no
"نصائح ذهبية لانترنت امن للأهل",no
"ما هي استراتيجية أمن المعلومات و كيف يتم بناؤها",no
"دروس جديدة ضمن الانترنت الامن",no
"زيادة مستوى تأمين الشبكة",no
"كيف يتم توفير الحماية لما نرغب بحمايته من المخاطر التي تم تحديدها",no
"التوصيات العامة لأمان الشبكات",no
"شرح ميكانيكية الإختراق",Yes
"متابعة المعلومات الأمنية ضمن المواقع الإلكترونية",no
"أمن شبكات الحاسب و الانترنت",no
"كيف تبدأء في مجال أمن المعلومات",no
"لضمان حماية المعلومات من الاخطار الداخلية و الخارجية",no
"جدار الحماية أن يساعد في منع المتطفلين أو البرامج الضارة",no
"يجب تثبيت برامج الحماية من الفيروسات و استخدامها",no
"تعلم الهكر بالصور من الالف الى الياء ",Yes
"تشغيل برامج الحماية من الفيروسات على كل كمبيوتر",no
"الأمان و الخصوصية والحسابات",no
"الطرق التي تزيد من حماية حسابك من السرقة",no
"و نبدأ دورتنا في اختراق المواقع للمحترفين و   المبتدئين",Yes
"كيف تعرف اذا كان جهازك مخترقا",no
"حتى لايتم اختراقك",no
"تعلم كيف تحمي نفسك",no
"كيف تمنع الهكرز من الاختراق",no
"كيف تحمي جهازك من الاختراق",no
"كيفية حماية الجهاز من الهاكرز و الاختراق",no
"كيفية التصرف في حال تم اختراق الجهاز",no
"تحمي جهازك من الاختراق و التجسس",no
"كيف تحمي جهازك من الإختراق",no
"تجنب المواقع الغريبة",no
"تأكد من تشغيل الجدار الناري",no
"طريقة الحماية من هكر",no
"كيف يتمكن الهاكر من الدخول الى جهازك",no
"كيف يتمكن الهاكر من الدخول الى جهاز",no
"لكسر باسورد",Yes
"شرح الحماية",no
"لتفادي الاختراق و منع اي تجسس على حاسوبك",no
"كيفية حماية حسابك",no
"طريقة حماية حساب الفيس بوك من السرقة",no
"برنامج سيعطي حماية اضافه لك اثناء محادثاتك",no
"الكشف عن ملفات التجسس",no
"كيف تحمي  من الهكر و الإختراق",no
"حماية من الهاكرز و التجسس",no
"من اجل عدم دخول الهاكرز",no
"والان و حصريا دورة اختراق الاجهزة والشبكات",Yes
"برامج يحميك من التجسس",no
"كيف تحمي معلوماتك",no
"مكافحة ملفات التجسس",no
"تأمين الحساب",no
"تحمي اجهزتك من التجسس او الاختراق",no
"فحص جميع البورتات   للاختراق",no
"طريقة اقفال اخطر البورتات المفتوحة لديك بالجهاز",no
"برنامج معرفة باسورد الشبكات الوايرلس",Yes
"برنامج لكسر باسورد الملفات المضغوطة",Yes
"برامج اختراق البريد و الايميلات",Yes
"منتدى هكر عربي متخصص بجديد الثغرات و اختراق المواقع و الاجهزة",Yes
"برنامج لاختراق حساب الفيس بوك",Yes
"طلب المساعدة لاختراق موقع او بريد إلكتروني",Yes
"دورة اختراق المواقع",Yes
"دورة إختراق الأجهزة",Yes
"منتدى الإختراق العام",Yes
"قسم إندكسات الإختراق",Yes
"تعلم اختراق الفيس بوك إذهب إلى آخر مشاركة",Yes
"منتدى إختراق البريد",Yes
"برامج اختراق الايميل",Yes
"برنامج سرقة حساب",Yes
"أدوات اختراق الاجهزة و الدمج و التشفير",Yes
"شروحات اختراق الاجهزة و برامج اختراق الاجهزة و برامج التشفير",Yes
"قسم اختراق الشبكات",Yes
"هنا يوجد الكثير من الطرق و البرامج الخاصه باختراق الشبكات و التجسس عليها و معرفة معلومات عنها و طرق كثيرة",Yes
"هذا القسم مختص بتعليم الإختراق",Yes
"منتدى إختراق المنتديات",Yes
"منتدى مختص فقط ببرامج الهكر الخاصة بالإختراق",Yes
"يوضع هنا الانجازات و القدرات التي يتباهي بها الهاكرز مثل اختراق مواقع و اجهزة و تدمير سيرفرات و وضع شروحات نادرة جدا",Yes
"منتدى مختص بجميع انواع الفيروسات و ملفات التجسس و كيفية صناعتها",Yes
"دورة إختراق الأجهزة الإحترافية",Yes
"قسم دورة إختراق البريد الإحترافية",Yes
"شرح إختراق الإيميل",Yes
"كتب في الاختراق",Yes
"أفضل الدورات الإحترافية في عالم الإختراق",Yes
"اختراق الاجهزة",Yes
"اختراق المواقع و السيرفرات",Yes
"اختراق جميع انواع شبكات و المواقع",Yes
"الان اخترق الشبكات المصابة بثغرة",Yes
"المواضيع المتعلقة بدورة اختراق المواقع المقدمة من قبل جيوش الهكرز لتعليم اختراق المواقع",Yes
"اقوى اسطوانة برامج في تاريخ الهكرز",Yes
"احسن و اقوى و افضل الادوات لاختراق المواقع",Yes
"متخصص بجديد الثغرات و اختراق المواقع و الأجهزة",Yes
"اختراق الاجهزة هو قسم مختص بتعليم فنون اختراق الاجهزة و الدمج و التشفير و كل ما يخص اختراق الاجهزة",Yes
"شروحات اختراق المواقع هو قسم يختص بشروحات اختراق المواقعو السيرفرات للوصول إلى معلومات محمية او تغيير محتوى",Yes
"شروحات عن كيفية أكتشاف الثغرات و أستغلالها",Yes
"قسم البرامج هو قسم مختص باحدث اخبار البرامج و تحميل البرامج و شروحات برامج الهكرز",Yes
"قسم مختص بجميع انواع الفيروسات و ملفات التجسس و كيفية صناعة الملفات الملغومة",Yes
"شروحات برامج الحماية الخاصية بالأجهزه يمنع طرح برامج او طرق الحمايه في قسم اخر",no
"يتعلق بحمايه المنتديات و المواقع و السيرفرات و سد جميع  ثغرات الموجودة",no
"دورة أحترافية في أختراق",Yes
"جميع طرق و عمليات اختراق",Yes
"اختراق الشبكات الاسلكية و فك الشفرات و اختراق منظمات ويرلس و شبكات",Yes
"هذا المنتدى يهتم بجميع طرق عمليات الاختراق",Yes
"سوف نعلمك الهكر",Yes
"دورة اختراق المواقعو السيرفرات اكثر من رائعة",Yes
"برنامج تهكير حساب",Yes
"كيفيه اختراق المواقع عن طريق الدوس باحتراف",Yes
"عالم الهكر و الاختراق",Yes
"برنامج سارق لايميلات",Yes
"افضل موقع للصفحات المزورة",Yes
"بختراق الايميل و الفيس و طرقه و الخدع",Yes
"اختَراق المنتديات و المواقع و جميع الثغرات و طرق استغلاله",Yes
"طرق الحماية منه  مع دروس بالحماية و التحصين من الهكر",no
"دورة اختراق المواقع و السرفيرات",Yes
"حصريـاً دورة اختراق الأجهزة",Yes
"قـسـم إخـتـراق الـمـواقـعو السيرفرات",Yes
"أضخم دورة لتعليم أختراق المواقعو السيرفرات",Yes
"أدوات و اندكـسات الإختراق",Yes
"مدرسة هكر الجحيم الأخلاقية",Yes
"قسم الهكر",Yes
"موقعين لكسر تشفير شبكات الوايرلس",Yes
"طريقة أختراق الفيس بوك",Yes
"طريقة اختراق الفيس بوك عن طريق الصفحات المزورة بفكرة جديدة",Yes
"أفضل تطبيقات أندرويد لفك تشفير شبكات الوايرلس لآختراق الواي فاي",Yes
"في هذا الدرس اليوم سوف اقدم لكم شرح طريقة اختراق الفيس بوك عن طريق الصفحات المزورة و لاكن طريقه جديدة أحترافيه",Yes
"كيف تصبح هكر محترف",Yes
"هل تعلم كيف تصبح هكر  تعلم  اولا اساسيات القرصنة",Yes
"تعلم اولا اختراق الحسابات  ثم اختراق الاجهزة ثم اختراق المواقع",Yes
"صناعة الفيروسات و حتى البسيطة منها كي تفهم عملها",Yes
"كيف تكتب مثل الهاكرز بكل بساطة و سهولة",Yes
"طريقك نحو احتراف الهكر",Yes
"كتاب يتحدث عن أساسيات الاختراق و عن اختبار الاختراق",Yes
"أفضل تطبيقات أندرويد لفك تشفير شبكات الوايرلس لآختراق الواي فاي",Yes
"تدمير المواقع بدون برامج",Yes
"برنامج تدمير المواقع",Yes
"الدليل الكامل لإختراق سيرفر",Yes
"تدريب على عملية الإختراق بواسطة اليونيكود",Yes
"شرح مفصل لكيفية اختراق المواقع المجانية",Yes
"الطريقة الصحيحة  في اختراق المواقع",Yes
"درس لإحتراف الهاك في اختراق المواقع",Yes
"شرح مفصل من الألف إلى الياء في احتراف اختراق المواقع",Yes
"تمتع بإختراق المواقع",Yes
"درس مفصل عن كيفية اختراق المنتديات",Yes
"أفضل المنتديات و المواقع العربية للهاك",Yes
"نصائح هامة لحماية حساب فيسبوك ",no
"كيف تحمي حسابك علي فيس بوك من الاختراق و الهكر و القراصنة هنا سوف أشرح لك افضل طرق حماية حساب الفيسبوك من اختراقه",no
"الاساليب الأمنيّة لمساعدتك علي تجنب اخترق حسابك و الحفاظ   من التجسس",no
"حماية بريدك الإلكتروني الذي تستخدمه للدخول في الفيسبوك",no
"يجب أن تكون كلمة السر في حسابك على الفيس بوك قوية حتي لا يتم اختراقك",no
"لحماية حسابك في الفيسبوك من الاختراق",no
"لحماية حساب فيسبوك من الإختراق",no
"اهم خطوات حماية الاستضافة و تأمين موقعك الإلكتروني",no
"حماية قوية و اصلية للحصول على حماية مضاعفة لحسابك",no
"خطوات أساسية لحماية المواقع الإلكترونية من الإختراق",no
"تأمين  موقعك باستخدام",no
"تشفير البيانات التي يتم تبادلها لحمايتها من التنصّت",no
"تامين موقعك باستخدام",no
"خدمات إدارة المواقع الالكترونية",no
"ستغلق على الهاكر عدد كبير من الثغرات التي قد يستغلها في إختراق الموقع",no
"دليل حماية منتجاتك الالكترونية من القرصنة على الويب",no
"تتجنب سرقة حسابك عبر الفيس بوك و طريقة للوقاية وتجنب الاختراق",no
"تحميل كتاب عالم الهكر مجاناً",Yes
"حماية شبكتهم و اجهزتهم",no
"لحمايه شبكه الواى فاى",no
"برنامج يقوم بحماية شبكة الويفي الخاصة بك من الاختراق",no
"يقوم بحماية خصوصيتك من خلال اخفاء الاي بي",no
"أمن المواقع و المنتديات",no
"قسم برامج  الهكر",Yes
"شروحات هكر الخاصة",Yes
"برامج هكر   برامج اختراق   برامج تهكير  جيوش الهكرز   برامج هكرز   اقوى برامج اختراق",Yes
"برامج هكر جديده",Yes
"ادوات اختراق المواقع و السيرفرات",Yes
"منـظمـة الإخـتـراق  العالمية",Yes
"جميع طرق و عمليات اختراق الأيميل  صفحات مزورة",Yes
"طريقة كسر كلمة السر لنظام التشغيل",Yes
"إختراق باسورد الفيس بوك عن طريق الإضافة إلى قائمة الأصدقاء",Yes
"كيفية استخراج  جميع الباسوردات التي تم كتبها في الجهاز",Yes
"أفضل تطبيقات أندرويد لفك تشفير شبكات الوايرلس",Yes
"كيف تستخدم شبكة الواى فاى  الخاصة بجيرانك",Yes
"اقوى تطبيقات الاندرويد لفك تشفير شبكات الواير ليس",Yes
"تحميل تطبيق معرفة  كلمة سر الوايرلس",Yes
"تحميل تطبيق  فك التشفير  الوايرلس",Yes
"تحميل تطبيق  لفك  شفرة",Yes
"شرح اختراق المواقع و المنتديات بدو ن برامج",Yes
"شبكة الصاعقة العربية لتعليم الهكرز",Yes
"قسم إختراق  المواقع و   السيرفرات",Yes
"تدمير موقع دون باي رنامج",Yes
"طريقة اختراق المواقع في ال من خمس دقائق",Yes
"كيفية اختراق  المواقع الإلكترونية بثغرة",Yes
"كيف يمكنك فك قفل الواى فاى بواسطة هاتف اندرويد",Yes
"تحميل برنامج كسر كلمة السر للوايرلس لجوالات الاندرويد",Yes
"    ني للحصول على باسورد نقاط الواي فاي القريبة منك",Yes
"تحميل برنامج فتح قفل الواى فاى للاندرويد مجانا",Yes
"تحميل برنامج اختراق الوايرلس مجانا",Yes
"تحميل برنامج كسر كلمة السر للوايرلس لجوالات الاندرويد",Yes
"تحميل البرنامج الذى يستطيع فك قفل الواى فاى للاندرويد مجانا",Yes
"تحميل برنامج قفل الواى فاى بواسطة هاتف اندرويد",Yes
"سوف نريكم كيفية إختراق مواقع بدون برامج",Yes
"نجد كلمة السر مشفرة فنفك تشفيرها",Yes
"اكبر منتدى هكر عربي متخصص بجديد الثغرات و اختراق ",Yes
"مختص بتعليم فنون اختراق المواقع و الدمج و التشفير و كل ما يخص اختراق المواقع و التجسس",Yes
"اقوى برنامج على الاطلاق لسرقه باسورد الفيس بوك بدون تعب و لا تتخيل السرعه الفائقه",Yes
